36075	2017-08-16 12:00:01.430578	RBO
37922	2017-08-16 12:00:16.932280	RBO
38271	2017-08-16 12:00:32.392146	RBO
38275	2017-08-16 12:00:47.858655	RBO
38279	2017-08-16 12:01:03.311480	RBO
39134	2017-08-16 12:01:18.779471	RBO
39940	2017-08-16 12:01:34.267300	RBO
39941	2017-08-16 12:01:49.735790	RBO
41152	2017-08-16 12:02:05.214024	RBO
41156	2017-08-16 12:02:20.655411	RBO
41162	2017-08-16 12:02:36.166449	RBO
41172	2017-08-16 12:02:51.605987	RBO
41176	2017-08-16 12:03:07.063271	RBO
41231	2017-08-16 12:03:22.505652	RBO
41241	2017-08-16 12:03:37.949890	RBO
41247	2017-08-16 12:03:53.402708	RBO
41917	2017-08-16 12:04:08.851029	RBO
42871	2017-08-16 12:04:24.311783	RBO
42894	2017-08-16 12:04:39.756219	RBO
43198	2017-08-16 12:04:55.191352	RBO
43396	2017-08-16 12:05:10.488964	RBO
45537	2017-08-16 12:05:25.930979	RBO
45540	2017-08-16 12:05:41.416951	RBO
45558	2017-08-16 12:05:56.879791	RBO
CNR2147	2017-08-16 17:11:26.899778	RBE
CNR2147	2017-08-16 17:19:31.640121	RBE
CNR2147	2017-08-16 17:22:27.278225	RBO
CNR2147	2017-08-16 17:23:32.256379	RBE
CNR2147	2017-08-16 17:25:35.941814	RBE
CNR2148	2017-08-16 17:48:10.991258	RBE
CNR2149	2017-08-16 18:13:02.201850	RBE
CNR2151	2017-08-16 18:40:16.129784	RBE
CNR2152	2017-08-16 18:56:18.396732	RBE
33772G	2017-08-17 15:03:00.082838	RBO
37959B	2017-08-17 17:02:26.079086	RBO
42714	2017-08-17 19:34:40.496970	RBO
42730	2017-08-17 21:26:27.221855	RBO
42737	2017-08-17 23:01:06.142904	RBO
42884	2017-08-18 00:58:11.023901	RBO
43192	2017-08-18 03:36:07.416001	RBO
43195	2017-08-18 06:01:27.812491	RBO
43885	2017-08-18 07:49:53.442865	RBO
43886	2017-08-18 09:44:16.774747	RBO
43986	2017-08-18 11:46:52.456132	RBO
CNR2137	2017-08-30 15:06:06.960677	FR
CNR2141	2017-08-30 15:34:01.143456	FR
CNR2159	2017-08-30 15:56:02.647506	FR
CNR2160	2017-08-30 16:11:47.209448	FR
CNR2161	2017-08-30 16:42:24.446163	FR
CNR2162	2017-08-30 17:06:15.453164	FR
CNR2163	2017-08-30 17:25:06.021047	FR
CNR2164	2017-08-30 17:42:52.096854	FR
CNR2165	2017-08-30 17:59:41.789577	FR
CNR2137	2017-08-31 08:26:34.902325	FR
CNR2141	2017-08-31 08:26:50.374614	FR
CNR2159	2017-08-31 08:27:05.862111	FR
CNR2160	2017-08-31 08:27:21.315696	FR
CNR2161	2017-08-31 08:27:36.684839	FR
CNR2162	2017-08-31 08:27:52.163909	FR
CNR2163	2017-08-31 08:28:07.634156	FR
CNR2164	2017-08-31 08:28:23.071839	FR
CNR2166	2017-08-31 08:28:38.537868	FR
CNR2167	2017-08-31 08:47:18.079963	FR
NC47	2017-08-31 09:01:51.896699	FR
PAP6	2017-08-31 09:21:29.859120	FR
PAP17	2017-08-31 09:42:38.205522	FR
27259	2017-08-31 16:47:35.506649	RBO
32137	2017-08-31 17:02:40.718772	RBO
27838	2017-08-31 17:20:22.529169	RBO
32144	2017-08-31 17:22:42.009555	RBO
27871	2017-08-31 17:43:34.150199	RBO
37698	2017-08-31 18:03:47.427530	RBO
32206	2017-08-31 18:11:01.024952	RBO
45831	2017-08-31 18:34:32.050667	RBO
33890	2017-08-31 18:36:43.365592	RBO
33911	2017-08-31 18:57:26.878473	RBO
45833	2017-08-31 19:03:05.390931	RBO
36195	2017-08-31 19:20:04.505128	RBO
37908	2017-08-31 19:44:30.314635	RBO
37914	2017-08-31 20:03:29.233841	RBO
37930	2017-08-31 20:25:45.311668	RBO
38276	2017-08-31 20:43:22.403045	RBO
38280	2017-08-31 21:03:37.035733	RBO
38942	2017-08-31 21:24:42.145622	RBO
42304	2017-08-31 21:48:46.999131	RBO
42320	2017-08-31 22:07:25.393229	RBO
42708	2017-08-31 22:27:33.079384	RBO
42722	2017-08-31 22:50:16.944692	RBO
42727	2017-08-31 23:16:17.275571	RBO
42736	2017-08-31 23:41:06.412372	RBO
27732	2017-09-04 17:14:15.836272	RBO
33772G	2017-09-04 17:15:27.584896	RBO
32189	2017-09-04 17:16:41.363702	RBO
41851	2017-09-04 17:17:45.191620	RBO
37959B	2017-09-04 19:20:31.344559	RBO
34248	2017-09-04 19:54:16.058075	RBO
32189	2017-09-04 20:11:47.037327	RBO
33772G	2017-09-04 20:12:28.869655	RBO
37959B	2017-09-04 20:47:37.821877	RBO
34248	2017-09-04 20:54:17.596207	RBO
42714	2017-09-04 21:28:00.417114	RBO
42730	2017-09-04 21:52:21.454366	RBO
42737	2017-09-04 22:12:18.387776	RBO
42884	2017-09-04 22:37:38.180660	RBO
43192	2017-09-04 23:10:30.237288	RBO
43195	2017-09-04 23:39:37.540095	RBO
43885	2017-09-05 00:02:49.243888	RBO
43886	2017-09-05 00:26:16.832043	RBO
43986	2017-09-05 00:52:49.141174	RBO
CNR2066	2017-09-05 11:26:24.064215	FR
CNR2153	2017-09-05 11:42:28.594553	FR
